Document ID,Unit ID,Assignment ID,Source type,Producer,Elicitation,Date,Parent / section,Language,Text excerpt,Code ID,Code name,Prompting,Codebook version,Pass,Coder notes
INT-01,1,A-001,elicited talk,procurement manager,elicited,2026-05-12,How do you decide which suppliers to keep?,en,"Mostly on price, to be honest. We look at the quarterly numbers",PRICE_01,Price as criterion,prompted,v2,1,
INT-01,1,A-002,elicited talk,procurement manager,elicited,2026-05-12,How do you decide which suppliers to keep?,en,"I also keep the ones I trust, even if they cost a bit more",TRUST_01,Trust or relationship,volunteered,v2,1,Trust raised unprompted within a price answer
INT-01,2,A-003,elicited talk,procurement manager,elicited,2026-05-12,Can you say more about trust?,en,"One supplier delivered during the strike in 2023 when nobody else did. I will not drop them over a few percent.",TRUST_01,Trust or relationship,prompted,v2,1,
INT-02,1,A-004,elicited talk,procurement manager,elicited,2026-05-14,How do you decide which suppliers to keep?,en,"We run a scorecard. Price is one line, delivery reliability is another",SCORE_01,Formal scorecard,prompted,v2,1,
INT-02,1,A-005,elicited talk,procurement manager,elicited,2026-05-14,How do you decide which suppliers to keep?,en,"Price is one line",PRICE_01,Price as criterion,prompted,v2,1,
INT-02,1,A-006,elicited talk,procurement manager,elicited,2026-05-14,How do you decide which suppliers to keep?,en,"I do not want it to be about relationships",TRUST_REJ,Relationship rejected as criterion,volunteered,v2,1,
INT-02,1,A-007,elicited talk,procurement manager,elicited,2026-05-14,How do you decide which suppliers to keep?,en,"when two are close, I go with the one whose account manager I know",TRUST_01,Trust or relationship,volunteered,v2,1,Contradicts the rejection in the same answer — keep both
INT-02,2,A-008,elicited talk,procurement manager,elicited,2026-05-14,Does anything override the scorecard?,en,"A failed audit ends the relationship regardless of price.",COMPL_01,Compliance overrides,prompted,v2,1,
REP-01,1,A-009,institutional document,Group (annual report),naturally occurring,2026-03-01,Supplier management,en,"total cost of ownership",PRICE_01,Price as criterion,n/a,v2,1,
REP-01,1,A-010,institutional document,Group (annual report),naturally occurring,2026-03-01,Supplier management,en,"Suppliers are assessed annually through a structured scorecard",SCORE_01,Formal scorecard,n/a,v2,1,
REP-01,1,A-011,institutional document,Group (annual report),naturally occurring,2026-03-01,Supplier management,en,"three suppliers were removed following audit findings",COMPL_01,Compliance overrides,n/a,v2,1,
REP-01,1,A-012,institutional document,Group (annual report),naturally occurring,2026-03-01,Supplier management,en,"The Group does not consider personal relationships a relevant criterion",TRUST_REJ,Relationship rejected as criterion,n/a,v2,1,
